Sex,occode,level3,Change_exit_pp,DiD_beta_pp,DiD_percentile,DiD_beta_type,N_1851_61,N_1861_81,Exit_1851_61_pp,Exit_1861_81_pp,Exit_1851_61,Exit_1861_81,DiD_beta_pp.x,DiD_beta_pp.y
Men,313,WIRE MAKERS WORKERS WEAVERS,8.56416905251533,,74.4588744588745,Occupation placebo DiD,999,901,44.044044044044,52.6082130965594,0.44044044044044,0.526082130965594,-0.0722228929928991,-0.0722228929928991
Men,571,WOOLLEN CLOTH MANUFACTURE UNDEFINED,8.51647322830336,,73.5930735930736,Occupation placebo DiD,1404,1978,75.3561253561254,83.8725985844287,0.753561253561254,0.838725985844287,-0.136225724330379,-0.136225724330379
Men,111,MERCHANT -- COMMODITY UNDEFINED,8.31905550356347,,75.7575757575758,Occupation placebo DiD,1437,1305,74.669450243563,82.9885057471264,0.74669450243563,0.829885057471264,0.303988390866654,0.303988390866654
Men,712,LODGING AND BOARDING-HOUSE KEEPERS,8.2657893052919,,76.1904761904762,Occupation placebo DiD,692,542,75.8670520231214,84.1328413284133,0.758670520231214,0.841328413284133,0.330046940760076,0.330046940760076
Men,2,OTHER POST OFFICE OFFICERS AND CLERKS,8.13500604718858,,67.0995670995671,Occupation placebo DiD,1010,966,71.7821782178218,79.9171842650104,0.717821782178218,0.799171842650104,-1.54588619040727,-1.54588619040727
Men,719,HOTEL WAITERS,7.93195278031719,,66.2337662337662,Occupation placebo DiD,905,695,77.6795580110497,85.6115107913669,0.776795580110497,0.856115107913669,-1.89495808397392,-1.89495808397392
Men,160,BOATMEN ON SEAS (SEAMEN GENERAL),7.73100968090813,,73.1601731601732,Occupation placebo DiD,2695,2321,84.3413729128015,92.0723825937096,0.843413729128015,0.920723825937096,-0.303407385855191,-0.303407385855191
Men,771,MACHINISTS MACHINE WORKERS UNDEFINED,7.7158276130926,,72.7272727272727,Occupation placebo DiD,596,878,85.9060402684564,93.621867881549,0.859060402684564,0.93621867881549,-0.333815150575331,-0.333815150575331
Men,196,"COAL MINERS - HEWERS, WORKERS AT THE COAL FACE",7.67817874345248,,69.6969696969697,Occupation placebo DiD,28010,30263,32.7275972866833,40.4057760301358,0.327275972866833,0.404057760301358,-1.1033947794509,-1.1033947794509
Men,382,GOLD AND SILVERSMITHS JEWELLERS (NOT DEALERS),7.43961061714335,,63.2034632034632,Occupation placebo DiD,1264,1445,49.4462025316456,56.8858131487889,0.494462025316456,0.568858131487889,-2.36425561608449,-2.36425561608449
